,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
12,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2040,390064.277559822,15917.142132493502,9602.1174007953,390064.277559822,15917.142132493502,9602.1174007953,93.8594151944,3.8300704219,2.3105143837,Renewables
13,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2050,671959.717971741,26666.161178150098,14317.301916145501,671959.717971741,26666.161178150098,14317.301916145501,94.2515106136,3.7402926189,2.0081967675,Renewables
14,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2060,902081.084210078,30676.7335068311,12338.9185233984,902081.084210078,30676.7335068311,12338.9185233984,95.44854506629999,3.2458829166000003,1.3055720172,Renewables
15,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2070,1115712.23119324,40414.0742601538,24241.4737808085,1115712.23119324,40414.0742601538,24241.4737808085,94.5224235041,3.4238544097,2.0537220862,Renewables
16,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2080,1689675.97895355,67936.8482960118,17779.0181801362,1689675.97895355,67936.8482960118,17779.0181801362,95.17200291889999,3.8265833242,1.0014137570000001,Renewables
17,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2090,1357967.4086891,42754.129227680096,17443.899919138,1357967.4086891,42754.129227680096,17443.899919138,95.7552181473,3.0147490615,1.2300327912,Renewables
18,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2100,1244675.66587078,32111.6741569317,19372.7590735332,1244675.66587078,32111.6741569317,19372.7590735332,96.0279263907,2.4774465885,1.4946270208,Renewables
19,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2110,693908.046352467,22129.195215416097,17582.8346412659,693908.046352467,22129.195215416097,17582.8346412659,94.58683981739999,3.0164380628,2.3967221197,Renewables
20,CD_Links_SSP2_v2,NPi_v3,Latin America,2020,15747.546709075,1342.545394786,56969.2342318601,15747.546709075,1342.545394786,56969.2342318601,21.263421486800002,1.8127972009,76.9237813123,Fossils
21,CD_Links_SSP2_v2,NPi_v3,Latin America,2030,29671.5594513123,2238.1274061061,86240.8805140288,29671.5594513123,2238.1274061061,86240.8805140288,25.1133448712,1.8943010228000001,72.99235410600001,Fossils
22,CD_Links_SSP2_v2,NPi_v3,Latin America,2040,24825.530469791498,1741.6402033967001,74736.7744189813,24825.530469791498,1741.6402033967001,74736.7744189813,24.5059858698,1.7192224862,73.77479164409999,Fossils
23,CD_Links_SSP2_v2,NPi_v3,Latin America,2050,46708.399777176906,3341.0294972240004,169041.828246672,46708.399777176906,3341.0294972240004,169041.828246672,21.3191527155,1.5249487975999998,77.1558984869,Fossils
24,CD_Links_SSP2_v2,NPi_v3,Latin America,2060,105554.33388052801,7347.5264470101,394150.05678209604,105554.33388052801,7347.5264470101,394150.05678209604,20.8172635422,1.4490678763,77.7336685815,Fossils
25,CD_Links_SSP2_v2,NPi_v3,Latin America,2070,59224.089201518895,3546.1803139105,133277.501569738,59224.089201518895,3546.1803139105,133277.501569738,30.209009199,1.808834803,67.982155998,Fossils
26,CD_Links_SSP2_v2,NPi_v3,Latin America,2080,93706.17292421269,6372.6027762748,429749.72753776103,93706.17292421269,6372.6027762748,429749.72753776103,17.686132843299998,1.2027670722,81.1111000845,Fossils
27,CD_Links_SSP2_v2,NPi_v3,Latin America,2090,158791.728531853,10884.0746231804,711225.192724378,158791.728531853,10884.0746231804,711225.192724378,18.0260584645,1.2355616209,80.7383799146,Fossils
28,CD_Links_SSP2_v2,NPi_v3,Latin America,2100,87737.7524687562,5582.5211731075,275418.965218751,87737.7524687562,5582.5211731075,275418.965218751,23.793983179,1.5139482281,74.6920685929,Fossils
29,CD_Links_SSP2_v2,NPi_v3,Latin America,2110,30130.1296849675,1916.0808335518,107776.408665383,30130.1296849675,1916.0808335518,107776.408665383,21.548823688800002,1.3703654278,77.0808108834,Fossils
30,CD_Links_SSP2_v2,NPi_v3,Latin America,2020,41721.9744119172,2287.5924455768,0.0,41721.9744119172,2287.5924455768,0.0,94.8020564415,5.1979435585000004,0.0,Renewables
31,CD_Links_SSP2_v2,NPi_v3,Latin America,2030,69416.0537575357,3946.1925252786,0.0,69416.0537575357,3946.1925252786,0.0,94.62094915950001,5.3790508405,0.0,Renewables
32,CD_Links_SSP2_v2,NPi_v3,Latin America,2040,87736.56963620901,4891.0472159826,68.9431539875,87736.56963620901,4891.0472159826,68.9431539875,94.6492185151,5.2764063905,0.07437509440000001,Renewables
33,CD_Links_SSP2_v2,NPi_v3,Latin America,2050,147293.763823511,7070.346298417099,66.4531428582,147293.763823511,7070.346298417099,66.4531428582,95.37863536180001,4.5783335558,0.043031082400000004,Renewables
34,CD_Links_SSP2_v2,NPi_v3,Latin America,2060,253866.158510005,9875.17043277,42.7880345012,253866.158510005,9875.17043277,42.7880345012,96.2401229532,3.7436561935,0.0162208532,Renewables
35,CD_Links_SSP2_v2,NPi_v3,Latin America,2070,414420.49312637706,12372.1705080557,106.0862136979,414420.49312637706,12372.1705080557,106.0862136979,97.0769985327,2.8981510282,0.0248504391,Renewables
36,CD_Links_SSP2_v2,NPi_v3,Latin America,2080,310484.836440125,8991.4294927427,88.6351304543,310484.836440125,8991.4294927427,88.6351304543,97.158616421,2.8136473882999997,0.0277361907,Renewables
37,CD_Links_SSP2_v2,NPi_v3,Latin America,2090,386070.404732751,10942.1359092469,93.35880118829999,386070.404732751,10942.1359092469,93.35880118829999,97.2210197013,2.7554704991000003,0.0235097996,Renewables
38,CD_Links_SSP2_v2,NPi_v3,Latin America,2100,382666.16968970204,10572.4520334279,105.25226680690001,382666.16968970204,10572.4520334279,105.25226680690001,97.2854021617,2.6878395044,0.0267583338,Renewables
39,CD_Links_SSP2_v2,NPi_v3,Latin America,2110,426157.98007053294,20379.4744115251,78713.7406182193,426157.98007053294,20379.4744115251,78713.7406182193,81.1341285933,3.8799482232,14.985923183499999,Renewables
