Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2010,10.2525,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,1.9392,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,3.1041,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,0.0007,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,0.0262,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,2.9156,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,2.8191,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,1.9204,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,0.6646,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,0.0003,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,0.0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,0.9529,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,1.5888,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,0.016,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5LAM,EJ/yr,2010,8.8164,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,1.1612,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,2.6709,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,2.1999,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,0.0182,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,1.8015,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,0.2335,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,1.0275,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,1.8169,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,2.7039,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,0.0,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,0.2469,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,0.2276,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,0.2137,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5REF,EJ/yr,2010,2.511,Transportation,Liquids
